epoch,loss,acc,tss,hss,mcc,f1,precision,recall,TP,FN,TN,FP,auc_roc,auc_pr,val_loss,val_acc,val_tss,val_hss,val_mcc,val_f1,val_precision,val_recall,val_TP,val_FN,val_TN,val_FP,val_auc_roc,val_auc_pr,far,val_far,num_train_inst
0,2.090698003768921,0.5182092189788818,0.004278421401977539,0.004415776580572128,0.027101242914795876,0.6809360384941101,0.5173513889312744,0.9958065152168274,6649.0,28.0,53.0,6203.0,0.5745140910148621,0.5654159188270569,0.8067313432693481,0.531871497631073,0.006617426872253418,0.006994403433054686,0.02944198250770569,0.6913248300552368,0.5309917330741882,0.9903661012649536,1028.0,10.0,15.0,908.0,0.6312848925590515,0.6262093186378479,0.4826486110687256,0.46900826692581177,13249
1,1.7820979356765747,0.521070122718811,0.01116025447845459,0.011504977010190487,0.036462850868701935,0.6790673732757568,0.5191317200660706,0.9814288020133972,6553.0,124.0,186.0,6070.0,0.557608425617218,0.5531517267227173,0.7127031683921814,0.5537990927696228,0.05584537982940674,0.05870261415839195,0.12011831998825073,0.6969172358512878,0.5440778732299805,0.9691714644432068,1006.0,32.0,80.0,843.0,0.625813364982605,0.6215510964393616,0.48086827993392944,0.45592212677001953,26498
2,1.624857783317566,0.5288022756576538,0.02899932861328125,0.02982264757156372,0.06094814091920853,0.6764018535614014,0.5239819288253784,0.953871488571167,6369.0,308.0,470.0,5786.0,0.5652663707733154,0.5626431107521057,0.6634613871574402,0.5966343879699707,0.151414155960083,0.15757057070732117,0.21865874528884888,0.7099376320838928,0.5731201767921448,0.9325626492500305,968.0,70.0,202.0,721.0,0.6631408333778381,0.6544862389564514,0.4760180711746216,0.4268798232078552,39747
3,1.5299769639968872,0.5433387756347656,0.061368584632873535,0.06289960443973541,0.0979139655828476,0.6752089858055115,0.5335013270378113,0.9194248914718628,6139.0,538.0,888.0,5368.0,0.5761297941207886,0.5712924003601074,0.6287357211112976,0.6573176980018616,0.2845427989959717,0.29265740513801575,0.33492758870124817,0.7352246046066284,0.621999979019165,0.8988439440727234,933.0,105.0,356.0,567.0,0.7093331217765808,0.6931825876235962,0.4664986729621887,0.37800002098083496,52996
4,1.4643571376800537,0.5554009079933167,0.0892477035522461,0.09112584590911865,0.11944261938333511,0.6703737378120422,0.5430482029914856,0.8756926655769348,5847.0,830.0,1336.0,4920.0,0.5942240953445435,0.588560163974762,0.6047271490097046,0.6853646039962769,0.34833216667175293,0.3555227816104889,0.3798332214355469,0.7443016767501831,0.6530908942222595,0.8651252388954163,898.0,140.0,446.0,477.0,0.7464718222618103,0.7271156311035156,0.4569517970085144,0.3469091057777405,66245
5,1.4225443601608276,0.5755818486213684,0.13402152061462402,0.1362341344356537,0.15807369351387024,0.6688785552978516,0.5600000023841858,0.8303130269050598,5544.0,1133.0,1900.0,4356.0,0.6105743646621704,0.5998789668083191,0.5849824547767639,0.7169811129570007,0.4188653230667114,0.4244440495967865,0.4358328878879547,0.758169949054718,0.6921241283416748,0.8381502628326416,870.0,168.0,536.0,387.0,0.7752537131309509,0.7547382712364197,0.4399999976158142,0.3078758716583252,79494
6,1.3887040615081787,0.5940617322921753,0.17504680156707764,0.17721152305603027,0.19157373905181885,0.6672582030296326,0.5783979892730713,0.7883780002593994,5264.0,1413.0,2419.0,3837.0,0.6295922994613647,0.6165660619735718,0.5659914612770081,0.7429882884025574,0.4744800329208374,0.4791385233402252,0.4859980642795563,0.7747989296913147,0.7225000262260437,0.8352600932121277,867.0,171.0,590.0,333.0,0.7958008050918579,0.7767021656036377,0.4216020107269287,0.2774999737739563,92743
7,1.3585118055343628,0.6134694218635559,0.21723437309265137,0.21918171644210815,0.2279965579509735,0.6693127155303955,0.5994075536727905,0.7576755881309509,5059.0,1618.0,2875.0,3381.0,0.6534294486045837,0.6373222470283508,0.5517035722732544,0.7536970973014832,0.4981921911239624,0.501957893371582,0.5061802268028259,0.7805542945861816,0.7386070489883423,0.8275529742240906,859.0,179.0,619.0,304.0,0.8078931570053101,0.7911598682403564,0.4005924463272095,0.2613929510116577,105992
8,1.3365731239318848,0.62986159324646,0.25145459175109863,0.2533504068851471,0.2604326605796814,0.6774041652679443,0.6157804727554321,0.7527332901954651,5026.0,1651.0,3120.0,3136.0,0.6717656850814819,0.6550496220588684,0.5376371145248413,0.7623661160469055,0.5181708335876465,0.5207335352897644,0.5225952863693237,0.7840592861175537,0.7553571462631226,0.8150289058685303,846.0,192.0,649.0,274.0,0.8175862431526184,0.8034824728965759,0.38421952724456787,0.24464285373687744,119241
9,1.3030853271484375,0.6515116095542908,0.2961409091949463,0.29797136783599854,0.3034925162792206,0.6907294392585754,0.63741135597229,0.7537816166877747,5033.0,1644.0,3393.0,2863.0,0.6980078816413879,0.6796831488609314,0.528952956199646,0.7674655914306641,0.5309256315231323,0.532203197479248,0.5326519012451172,0.7844990491867065,0.7699443697929382,0.799614667892456,830.0,208.0,675.0,248.0,0.8222836256027222,0.8098598122596741,0.36258864402770996,0.23005563020706177,132490
10,1.2893861532211304,0.6553003787994385,0.30518293380737305,0.30661988258361816,0.3098788857460022,0.687902569770813,0.6458525061607361,0.7358095049858093,4913.0,1764.0,3562.0,2694.0,0.7078770399093628,0.6924265027046204,0.5183809399604797,0.7725650072097778,0.5398392677307129,0.5418555736541748,0.5429578423500061,0.7913938164710999,0.7690908908843994,0.8150289058685303,846.0,192.0,669.0,254.0,0.8278117775917053,0.8169275522232056,0.3541474938392639,0.23090910911560059,145739
11,1.2752807140350342,0.6652748584747314,0.3265993595123291,0.32766103744506836,0.3293072283267975,0.6907194256782532,0.6603825092315674,0.7239778637886047,4834.0,1843.0,3770.0,2486.0,0.7185123562812805,0.702523946762085,0.513623833656311,0.7669556140899658,0.5323628187179565,0.5323308706283569,0.5323311686515808,0.7797590494155884,0.7801349759101868,0.7793834209442139,809.0,229.0,695.0,228.0,0.8312494158744812,0.821479320526123,0.3396174907684326,0.21986502408981323,158988
12,1.256386637687683,0.6800432801246643,0.3571803569793701,0.3579777479171753,0.3588224947452545,0.7000579833984375,0.6783255934715271,0.7232289910316467,4829.0,1848.0,3966.0,2290.0,0.7317264676094055,0.7134253978729248,0.5038586258888245,0.7735849022865295,0.5434465408325195,0.5446232557296753,0.5449948906898499,0.7897727489471436,0.7765362858772278,0.8034682273864746,834.0,204.0,683.0,240.0,0.8360965847969055,0.8268217444419861,0.3216744065284729,0.22346371412277222,172237
13,1.2276471853256226,0.6921827793121338,0.38157081604003906,0.3823898136615753,0.3832237124443054,0.7110821008682251,0.6898056864738464,0.7337127327919006,4899.0,1778.0,4053.0,2203.0,0.749207079410553,0.7317870259284973,0.49966394901275635,0.7776644825935364,0.5535542964935303,0.5536872148513794,0.5536918640136719,0.7903845906257629,0.7888675332069397,0.7919074892997742,822.0,216.0,703.0,220.0,0.8386291265487671,0.8300175070762634,0.31019431352615356,0.2111324667930603,185486
14,1.2158747911453247,0.7055594325065613,0.4089016914367676,0.4095539450645447,0.41004642844200134,0.7214338183403015,0.7051336765289307,0.7385053038597107,4931.0,1746.0,4194.0,2062.0,0.7589063048362732,0.739922046661377,0.49369826912879944,0.7832738161087036,0.5639115571975708,0.5645553469657898,0.5646623373031616,0.7971360087394714,0.7899715900421143,0.8044316172599792,835.0,203.0,701.0,222.0,0.8419435024261475,0.8340080976486206,0.29486632347106934,0.21002840995788574,198735
