,Unnamed: 0,epoch,loss,acc,tss,hss,mcc,f1,precision,recall,TP,FN,TN,FP,auc_roc,auc_pr,val_loss,val_acc,val_tss,val_hss,val_mcc,val_f1,val_precision,val_recall,val_TP,val_FN,val_TN,val_FP,val_auc_roc,val_auc_pr,far,val_far,num_train_inst
0,0,0,1.49843430519104,0.5646039247512817,0.0997705459594726,0.1026719659566879,0.167905569076538,0.6935300827026367,0.5459825992584229,0.950356423854828,7332.0,383.0,1071.0,6097.0,0.7339025139808655,0.7577913999557495,0.6700366735458374,0.5314401388168335,0.0075187683105468,0.0079348748549819,0.0631129220128059,0.6926147937774658,0.5297709703445435,1.0,1041.0,0.0,7.0,924.0,0.6244234442710876,0.6291233897209167,0.4540174007415771,0.4702290296554565,13254
1,1,1,1.1485180854797363,0.5951865315437317,0.1641000509262085,0.1683711409568786,0.2682742178440094,0.7133855819702148,0.5624675750732422,0.9749887585639954,6510.0,167.0,1181.0,5064.0,0.7465285658836365,0.7800589799880981,0.6294365525245667,0.6759634613990784,0.3318010568618774,0.3379184603691101,0.3580410778522491,0.7338609099388123,0.6477941274642944,0.8463016152381897,881.0,160.0,452.0,479.0,0.7186189293861389,0.7107985019683838,0.4375324249267578,0.3522058725357055,26508
2,2,2,0.918474018573761,0.8081566095352173,0.60787034034729,0.6127809286117554,0.6314948201179504,0.8336353302001953,0.755228579044342,0.9302082061767578,6211.0,466.0,4232.0,2013.0,0.8853542804718018,0.8894937634468079,0.6010996103286743,0.7302231192588806,0.4424183368682861,0.4497692883014679,0.4711566567420959,0.7755274176597595,0.6914973855018616,0.8828049898147583,919.0,122.0,521.0,410.0,0.7727758884429932,0.7583997249603271,0.2447714209556579,0.3085026144981384,39762
3,3,3,0.7666926383972168,0.8980033993721008,0.7951050996780396,0.7956410050392151,0.795802652835846,0.9022545218467712,0.8936389088630676,0.9110378623008728,6083.0,594.0,5521.0,724.0,0.9416385293006896,0.9412062168121338,0.5684062242507935,0.7302231192588806,0.4588756561279297,0.4588235914707184,0.4588245451450348,0.7442307472229004,0.744947075843811,0.7435158491134644,774.0,267.0,666.0,265.0,0.8051510453224182,0.7909637689590454,0.1063610911369323,0.2550529241561889,53016
4,4,4,0.6655784845352173,0.9130165576934814,0.8262529373168945,0.8259106278419495,0.8259740471839905,0.9153231978416444,0.9208731055259703,0.9098397493362428,6075.0,602.0,5723.0,522.0,0.9563599228858948,0.9560001492500304,0.6302124857902527,0.7388437986373901,0.4691905975341797,0.4724347293376922,0.4761064052581787,0.7662278413772583,0.7263339161872864,0.8107588887214661,844.0,197.0,613.0,318.0,0.799461841583252,0.7823249101638794,0.0791268944740295,0.2736660838127136,66270
5,5,5,0.5877940058708191,0.9245472550392152,0.8497804403305054,0.8490548133850098,0.8493319153785706,0.926074743270874,0.9378071427345276,0.9146323204040528,6107.0,570.0,5840.0,405.0,0.9649980664253236,0.9648141860961914,0.6472985148429871,0.7403650879859924,0.4730939865112304,0.4759571254253387,0.4787832796573639,0.7659963369369507,0.7306015491485596,0.8049951791763306,838.0,203.0,622.0,309.0,0.8008342981338501,0.7798734307289124,0.0621928572654724,0.2693984508514404,79524
6,6,6,0.5205950736999512,0.9351493716239928,0.8710860013961792,0.8702746033668518,0.8706126809120178,0.9363898634910583,0.949361264705658,0.923768162727356,6168.0,509.0,5916.0,329.0,0.9717016220092772,0.9714466333389282,0.9557088017463684,0.7429006099700928,0.4668877124786377,0.475111186504364,0.5007292032241821,0.787599503993988,0.6983655095100403,0.9029778838157654,940.0,101.0,525.0,406.0,0.7792782783508301,0.7506325244903564,0.050638735294342,0.3016344904899597,92778
7,7,7,0.4595213532447815,0.943507194519043,0.8876857757568359,0.8869782090187073,0.887230396270752,0.9446969628334044,0.955848515033722,0.933802604675293,6235.0,442.0,5957.0,288.0,0.9785358309745787,0.9781936407089232,0.7152150869369507,0.7236308455467224,0.4511547088623047,0.4486341178417206,0.4509013891220093,0.7251638770103455,0.7632696628570557,0.690682053565979,719.0,322.0,708.0,223.0,0.7866702079772949,0.7617418169975281,0.044151484966278,0.2367303371429443,106032
8,8,8,0.403635561466217,0.9514006972312928,0.9037597179412842,0.9027963876724244,0.9032556414604188,0.9522360563278198,0.9673929810523988,0.9375467896461488,6260.0,417.0,6034.0,211.0,0.982438623905182,0.9824299812316896,1.1250687837600708,0.7373225092887878,0.4592719078063965,0.4656670689582824,0.4808914959430694,0.7771084308624268,0.7038191556930542,0.8674351572990417,903.0,138.0,551.0,380.0,0.7750895023345947,0.7396941781044006,0.0326070189476013,0.2961808443069458,119286
9,9,9,0.3489870131015777,0.959216833114624,0.9191246032714844,0.9184061884880066,0.9186572432518004,0.960084855556488,0.971192181110382,0.9492287039756776,6338.0,339.0,6057.0,188.0,0.9867339730262756,0.9865469336509703,1.1145472526550293,0.7358012199401855,0.460362434387207,0.4648204445838928,0.4719869792461395,0.7685472965240479,0.7148760557174683,0.8309317827224731,865.0,176.0,586.0,345.0,0.7821333408355713,0.7464860081672668,0.0288078188896179,0.2851239442825317,132540
10,10,10,0.2972741425037384,0.9668008089065552,0.9343509674072266,0.933582067489624,0.9338650107383728,0.9674876928329468,0.9792881011962892,0.9559682607650756,6383.0,294.0,6110.0,135.0,0.9896230101585388,0.9895168542861938,1.658918857574463,0.727180540561676,0.4291636943817138,0.4394891858100891,0.4871317148208618,0.7844551205635071,0.6728522181510925,0.940441906452179,979.0,62.0,455.0,476.0,0.7494052648544312,0.7137036919593811,0.0207118988037109,0.3271477818489074,145794
11,11,11,0.2633731961250305,0.9715988039970398,0.9438748359680176,0.94317626953125,0.9434074759483336,0.9722201228141784,0.9828588962554932,0.96180921792984,6422.0,255.0,6133.0,112.0,0.9918091297149658,0.9916861057281494,1.835771918296814,0.7297160029411316,0.4370312690734863,0.4462752044200897,0.482293963432312,0.7821822762489319,0.6806543469429016,0.9193083643913268,957.0,84.0,482.0,449.0,0.7428109645843506,0.7034980654716492,0.0171411037445068,0.3193456530570984,159048
12,12,12,0.2318623661994934,0.9745395183563232,0.9496903419494628,0.9490562081336976,0.9492455720901488,0.97512286901474,0.9847281575202942,0.9657031893730164,6448.0,229.0,6145.0,100.0,0.9933640360832214,0.9932485818862916,1.4673770666122437,0.7383367419242859,0.4635765552520752,0.4689523875713348,0.4794268906116485,0.7740805745124817,0.7111825942993164,0.8491834998130798,884.0,157.0,572.0,359.0,0.7719189524650574,0.7351263165473938,0.0152718424797058,0.2888174057006836,172302
13,13,13,0.1990315169095993,0.9774028658866882,0.9553353786468506,0.954781413078308,0.9549250602722168,0.9779489636421204,0.9862909317016602,0.9697468876838684,6475.0,202.0,6155.0,90.0,0.9951661825180054,0.9950108528137208,1.962246656417847,0.7378296256065369,0.45546555519104,0.4640774726867676,0.493280827999115,0.7853881120681763,0.6915204524993896,0.9087415933609008,946.0,95.0,509.0,422.0,0.750121533870697,0.7108192443847656,0.0137090682983398,0.3084795475006103,185556
14,14,14,0.1795510649681091,0.9802662134170532,0.9609906673431396,0.9605081677436828,0.9606165885925292,0.980764865875244,0.9879938960075378,0.9736408591270448,6501.0,176.0,6166.0,79.0,0.9957466721534728,0.9956517815589904,1.8503875732421875,0.7398580312728882,0.4636209011077881,0.4704286158084869,0.4876266419887543,0.7804877758026123,0.7037037014961243,0.8760806918144226,912.0,129.0,547.0,384.0,0.7542982697486877,0.7138749361038208,0.0120061039924621,0.2962962985038757,198810
